raw_specialty,nucc_codes,Label,explain,validated_label_used,methodA_flag,methodA_overlap_unigram,methodA_overlap_bigram,methodA_uni_jaccard,methodA_bi_jaccard,methodB_flag,methodB_fwd,methodB_rev,methodB_avg,methodC_flag,methodC_cosine,green_flag
Nurse Practitioner,163W00000X|163WE0003X|363L00000X|364S00000X|364SE0003X,1.0,exact match on 'nurse',,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Ophthalmology,207W00000X,1.0,exact match on 'ophthalmology' + spacing rescue,,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Diabetic Educator,174H00000X,1.0,fuzzy match (query='diabetic educator'): 'educator' score=1.00,,,,,,,,,,,,,1
Critical Care Medicine,207LC0200X|207PE0004X|207RC0200X|207VC0200X|2080P0203X,1.0,fuzzy match (query='critical medicine'): 'anesthesiology critical medicine' score=1.00; 'medicine' score=1.00; 'internal medicine critical medicine' score=1.00; 'obstetrics gynecology critical medicine' score=1.00; 'pediatrics pediatric critical medicine' score=1.00,,,,,,,,,,,,,1
Hospitalist,208M00000X,1.0,exact match on 'hospitalist' + spacing rescue,,,,,,,,,,,,,1
Pediatric Neurology,2088P0231X,0.9444,fuzzy match (query='pediatric neurology'): 'urology pediatric urology' score=0.94,Urology Pediatric Urology,0,1,0,0.3333,0.0,0,0.9444,0.9444,0.9444,1,0.4439,0
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Physician Assistant,363A00000X|363AM0700X,1.0,exact match on 'physician',,,,,,,,,,,,,1
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Ophthalmology,207W00000X,1.0,exact match on 'ophthalmology' + spacing rescue,,,,,,,,,,,,,1
Emergency Medicine,207P00000X|207PE0004X,1.0,exact match on 'medicine',,,,,,,,,,,,,1
Counseling,103TC1900X,1.0,fuzzy match (query='counseling'): 'psychologist counseling' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Obstetrics &amp; Gynecology - Nurse Practitioner,207V00000X|207VG0400X|207VX0000X|363L00000X|363LX0001X,1.0,fuzzy match (query='obstetrics amp gynecology nurse'): 'obstetrics gynecology' score=1.00; 'obstetrics gynecology gynecology' score=1.00; 'obstetrics gynecology obstetrics' score=1.00; 'nurse' score=1.00; 'nurse obstetrics gynecology' score=1.00,,,,,,,,,,,,,1
Physician Assistant,363A00000X|363AM0700X,1.0,exact match on 'physician',,,,,,,,,,,,,1
Podiatry,261QP1100X,0.8235,fuzzy match (query='podiatry'): 'podiatric' score=0.82,Clinic/Center Podiatric,1,0,0,0.0,0.0,1,0.4516,0.4516,0.4516,0,0.6758,0
General Surgery,208600000X|208D00000X,1.0,fuzzy match (query='general surgery'): 'general' score=1.00; 'surgery' score=1.00,,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Orthopedic Surgery,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
Female Pelvic Medicine and Reconstructive Surgery,207PE0004X|208600000X,1.0,fuzzy match (query='female pelvic medicine reconstructive surgery'): 'medicine' score=1.00; 'surgery' score=1.00,,,,,,,,,,,,,1
Geriatrics,2251G0304X,1.0,fuzzy match (query='geriatrics'): 'therapist geriatrics' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Hepatology,207RI0008X|207RT0003X|2080T0004X,1.0,fuzzy match (query='hepatology'): 'internal medicine hepatology' score=1.00; 'internal medicine transplant hepatology' score=1.00; 'pediatrics pediatric transplant hepatology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Urology,208800000X,1.0,exact match on 'urology' + spacing rescue,,,,,,,,,,,,,1
Nuclear Medicine,207U00000X,1.0,exact match on 'nuclear medicine',,,,,,,,,,,,,1
Orthopedic Surgery,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
Urgent Care,261QU0200X,1.0,exact match on 'urgent',,,,,,,,,,,,,1
Neurosurgery,207T00000X|208600000X,0.75,fuzzy match (query='neurosurgery'): 'neurological surgery' score=0.75; 'surgery' score=0.74,Neurological Surgery,1,0,0,0.0,0.0,0,0.75,0.75,0.75,0,0.7256,0
Unknown/Not Available,JUNK,0.5,best fuzzy 0.50 below cutoff 0.60 (query='unknown not available'),,,,,,,,,,,,,0
Psychiatric/Mental Health - Nurse Practitioner,363L00000X|363LP0808X|364SP0807X|364SP0809X|364SP0810X,1.0,fuzzy match (query='psychiatric mental nurse'): 'nurse' score=1.00; 'nurse psychiatric mental' score=1.00; 'nurse psychiatric mental adult' score=1.00; 'nurse psychiatric mental child adolescent' score=1.00; 'nurse psychiatric mental child family' score=1.00,,,,,,,,,,,,,1
Obstetrics and Gynecology,207V00000X,1.0,exact match on 'obstetrics gynecology',,,,,,,,,,,,,1
Nurse Midwife,176B00000X|363L00000X,1.0,fuzzy match (query='nurse midwife'): 'nurse' score=1.00; 'midwife' score=1.00,,,,,,,,,,,,,1
Dermatology,207N00000X,1.0,exact match on 'dermatology' + spacing rescue,,,,,,,,,,,,,1
Family - Nurse Practitioner,363L00000X|363LF0000X|364SP0810X,1.0,fuzzy match (query='family nurse'): 'nurse' score=1.00; 'nurse family' score=1.00; 'nurse psychiatric mental child family' score=1.00,,,,,,,,,,,,,1
Reconstructive Orthopedic Surgery,208600000X|246ZX2200X,1.0,fuzzy match (query='reconstructive orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00,,,,,,,,,,,,,1
Neurology,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='neurology'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Nurse Practitioner,163W00000X|163WE0003X|363L00000X|364S00000X|364SE0003X,1.0,exact match on 'nurse',,,,,,,,,,,,,1
Hospitalist,208M00000X,1.0,exact match on 'hospitalist' + spacing rescue,,,,,,,,,,,,,1
Registered Nurse,163W00000X|163WE0003X|363L00000X|364S00000X|364SE0003X,1.0,exact match on 'nurse',,,,,,,,,,,,,1
Cardiology,246W00000X,1.0,exact match on 'cardiology' + spacing rescue,,,,,,,,,,,,,1
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Miscellaneous,JUNK,0.5185,best fuzzy 0.52 below cutoff 0.60 (query='miscellaneous'),,,,,,,,,,,,,0
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Pediatric Surgery,207XP3100X|208600000X|2086S0120X,1.0,fuzzy match (query='pediatric surgery'): 'orthopaedic surgery pediatric orthopaedic surgery' score=1.00; 'surgery' score=1.00; 'surgery pediatric surgery' score=1.00,,,,,,,,,,,,,1
Nurse Practitioner,163W00000X|163WE0003X|363L00000X|364S00000X|364SE0003X,1.0,exact match on 'nurse',,,,,,,,,,,,,1
Infectious Disease,207RI0200X,1.0,fuzzy match (query='infectious disease'): 'internal medicine infectious disease' score=1.00,,,,,,,,,,,,,1
Cardiology,246W00000X,1.0,exact match on 'cardiology' + spacing rescue,,,,,,,,,,,,,1
Transplant Surgery,204F00000X,1.0,exact match on 'transplant surgery',,,,,,,,,,,,,1
Social Worker,104100000X|1041C0700X,1.0,exact match on 'social worker',,,,,,,,,,,,,1
Orthopedic Surgery,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
Pulmonology,2080P0214X,1.0,fuzzy match (query='pulmonology'): 'pediatrics pediatric pulmonology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Reproductive Endocrinology,163WR1000X|207VE0102X,1.0,fuzzy match (query='reproductive endocrinology'): 'obstetrics gynecology reproductive endocrinology' score=1.00; 'nurse reproductive endocrinology infertility' score=1.00,,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Critical Care Medicine - Nurse Practitioner,207PE0004X|363L00000X|363LC0200X,1.0,fuzzy match (query='critical medicine nurse'): 'medicine' score=1.00; 'nurse' score=1.00; 'nurse critical medicine' score=1.00,,,,,,,,,,,,,1
Neuro Ophthalmology,207W00000X|207WX0109X,1.0,fuzzy match (query='neuro ophthalmology'): 'ophthalmology' score=1.00; 'ophthalmology neuro ophthalmology' score=1.00,,,,,,,,,,,,,1
Pediatrics,208000000X,1.0,exact match on 'pediatrics' + spacing rescue,,,,,,,,,,,,,1
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Advanced Heart Failure and Transplant Cardiology,207RA0001X|246W00000X,1.0,fuzzy match (query='advanced heart failure transplant cardiology'): 'internal medicine advanced heart failure transplant cardiology' score=1.00; 'cardiology' score=1.00,,,,,,,,,,,,,1
Community Health - Nurse Practitioner,261QC1500X|363L00000X|363LC1500X|364SC1501X|364SP0812X,1.0,fuzzy match (query='community nurse'): 'nurse' score=1.00; 'nurse community' score=1.00; 'nurse community public' score=1.00; 'nurse psychiatric mental community' score=1.00; 'community' score=1.00,,,,,,,,,,,,,1
Reproductive Endocrinology,163WR1000X|207VE0102X,1.0,fuzzy match (query='reproductive endocrinology'): 'obstetrics gynecology reproductive endocrinology' score=1.00; 'nurse reproductive endocrinology infertility' score=1.00,,,,,,,,,,,,,1
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Nurse Practitioner,163W00000X|163WE0003X|363L00000X|364S00000X|364SE0003X,1.0,exact match on 'nurse',,,,,,,,,,,,,1
Radiology,243U00000X|261QR0200X,1.0,exact match on 'radiology' + spacing rescue,,,,,,,,,,,,,1
Acute Care - Nurse Practitioner,363L00000X|363LA2100X,1.0,fuzzy match (query='acute nurse'): 'nurse' score=1.00; 'nurse acute' score=1.00,,,,,,,,,,,,,1
ENT (Otolaryngology),207Y00000X,1.0,fuzzy match (query='ent otolaryngology'): 'otolaryngology' score=1.00,,,,,,,,,,,,,1
Perinatology,207N00000X|207ZC0006X|246R00000X,0.7826,fuzzy match (query='perinatology'): 'dermatology' score=0.78; 'pathology pathology' score=0.76; 'pathology' score=0.76,Dermatology,1,0,0,0.0,0.0,0,0.7826,0.7826,0.7826,1,0.5104,0
Vascular Surgery,208600000X|2086S0129X|208G00000X,1.0,fuzzy match (query='vascular surgery'): 'surgery' score=1.00; 'surgery vascular surgery' score=1.00; 'thoracic surgery cardiothoracic vascular surgery' score=1.00,,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Pediatric Gastroenterology,2080P0206X,1.0,fuzzy match (query='pediatric gastroenterology'): 'pediatrics pediatric gastroenterology' score=1.00,,,,,,,,,,,,,1
Cardiac Electrophysiology,207RC0001X,1.0,fuzzy match (query='cardiac electrophysiology'): 'internal medicine cardiac electrophysiology' score=1.00,,,,,,,,,,,,,1
Emergency Medicine,207P00000X|207PE0004X,1.0,exact match on 'medicine',,,,,,,,,,,,,1
Physician Assistant,363A00000X|363AM0700X,1.0,exact match on 'physician',,,,,,,,,,,,,1
Emergency Medicine,207P00000X|207PE0004X,1.0,exact match on 'medicine',,,,,,,,,,,,,1
General Practice,208D00000X,1.0,exact match on 'general',,,,,,,,,,,,,1
Psychology,103TH0100X,0.8182,fuzzy match (query='psychology'): 'psychologist' score=0.82,Psychologist Health Service,1,0,0,0.0,0.0,1,0.4865,0.4865,0.4865,1,0.5656,0
General Surgery,208600000X|208D00000X,1.0,fuzzy match (query='general surgery'): 'general' score=1.00; 'surgery' score=1.00,,,,,,,,,,,,,1
Radiology,243U00000X|261QR0200X,1.0,exact match on 'radiology' + spacing rescue,,,,,,,,,,,,,1
Nurse Practitioner,163W00000X|163WE0003X|363L00000X|364S00000X|364SE0003X,1.0,exact match on 'nurse',,,,,,,,,,,,,1
Pediatric Neurology,2088P0231X,0.9444,fuzzy match (query='pediatric neurology'): 'urology pediatric urology' score=0.94,Urology Pediatric Urology,0,1,0,0.3333,0.0,0,0.9444,0.9444,0.9444,1,0.4439,0
Pediatric Cardiology,2080P0202X|246W00000X,1.0,fuzzy match (query='pediatric cardiology'): 'pediatrics pediatric cardiology' score=1.00; 'cardiology' score=1.00,,,,,,,,,,,,,1
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Pediatrics - Nurse Practitioner,208000000X|363L00000X|363LP0200X|363LP0222X|364SX0204X,1.0,fuzzy match (query='pediatrics nurse'): 'pediatrics' score=1.00; 'nurse' score=1.00; 'nurse pediatrics' score=1.00; 'nurse oncology pediatrics' score=1.00; 'nurse pediatrics critical' score=1.00,,,,,,,,,,,,,1
Pediatric Cardiology,2080P0202X|246W00000X,1.0,fuzzy match (query='pediatric cardiology'): 'pediatrics pediatric cardiology' score=1.00; 'cardiology' score=1.00,,,,,,,,,,,,,1
Physician Assistant,363A00000X|363AM0700X,1.0,exact match on 'physician',,,,,,,,,,,,,1
Radiation Oncology,2085R0001X|261QX0200X|261QX0203X,1.0,fuzzy match (query='radiation oncology'): 'radiology radiation oncology' score=1.00; 'oncology' score=1.00; 'oncology radiation' score=1.00,,,,,,,,,,,,,1
General Surgery,208600000X|208D00000X,1.0,fuzzy match (query='general surgery'): 'general' score=1.00; 'surgery' score=1.00,,,,,,,,,,,,,1
Genetic Counselor,101Y00000X|170300000X,1.0,fuzzy match (query='genetic counselor'): 'counselor' score=1.00; 'genetic counselor ms' score=1.00,,,,,,,,,,,,,1
Dermatology,207N00000X,1.0,exact match on 'dermatology' + spacing rescue,,,,,,,,,,,,,1
Preventative Medicine,207PE0004X,1.0,fuzzy match (query='preventative medicine'): 'medicine' score=1.00,,,,,,,,,,,,,1
Gynecology,207V00000X|207VC0200X|207VC0300X|207VF0040X|207VX0201X,1.0,fuzzy match (query='gynecology'): 'obstetrics gynecology' score=1.00; 'obstetrics gynecology complex family planning' score=1.00; 'obstetrics gynecology critical medicine' score=1.00; 'obstetrics gynecology urogynecology reconstructive pelvic surgery' score=1.00; 'obstetrics gynecology gynecologic oncology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Cardiac Electrophysiology,207RC0001X,1.0,fuzzy match (query='cardiac electrophysiology'): 'internal medicine cardiac electrophysiology' score=1.00,,,,,,,,,,,,,1
Hospice and Palliative Medicine,207LH0002X|207PE0004X|207PH0002X|207QH0002X|207RH0002X,1.0,fuzzy match (query='hospice palliative medicine'): 'anesthesiology hospice palliative medicine' score=1.00; 'medicine' score=1.00; 'medicine hospice palliative medicine' score=1.00; 'family medicine hospice palliative medicine' score=1.00; 'internal medicine hospice palliative medicine' score=1.00,,,,,,,,,,,,,1
Nephrology (Specialist),246ZN0300X,1.0,exact match on 'nephrology',,,,,,,,,,,,,1
Hospitalist,208M00000X,1.0,exact match on 'hospitalist' + spacing rescue,,,,,,,,,,,,,1
Social Worker,104100000X|1041C0700X,1.0,exact match on 'social worker',,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Cardiology,246W00000X,1.0,exact match on 'cardiology' + spacing rescue,,,,,,,,,,,,,1
Pain Management,163WP0000X|261QP3300X,1.0,fuzzy match (query='pain management'): 'nurse pain management' score=1.00; 'pain' score=1.00,,,,,,,,,,,,,1
Hospitalist,208M00000X,1.0,exact match on 'hospitalist' + spacing rescue,,,,,,,,,,,,,1
Medical Oncology,261QX0200X,1.0,exact match on 'oncology',,,,,,,,,,,,,1
Dermatology,207N00000X,1.0,exact match on 'dermatology' + spacing rescue,,,,,,,,,,,,,1
Hospitalist,208M00000X,1.0,exact match on 'hospitalist' + spacing rescue,,,,,,,,,,,,,1
Integrative Medicine,202D00000X,1.0,exact match on 'integrative medicine',,,,,,,,,,,,,1
Neuromusculoskeletal Medicine &amp; OMM,204D00000X|207PE0004X,1.0,fuzzy match (query='neuromusculoskeletal medicine amp omm'): 'medicine' score=1.00; 'neuromusculoskeletal medicine omm' score=1.00,,,,,,,,,,,,,1
Pulmonology,2080P0214X,1.0,fuzzy match (query='pulmonology'): 'pediatrics pediatric pulmonology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Nurse Practitioner,163W00000X|163WE0003X|363L00000X|364S00000X|364SE0003X,1.0,exact match on 'nurse',,,,,,,,,,,,,1
Adult Health - Nurse Practitioner,363L00000X|363LA2200X|364SP0809X,1.0,fuzzy match (query='adult nurse'): 'nurse' score=1.00; 'nurse psychiatric mental adult' score=1.00; 'nurse adult' score=1.00,,,,,,,,,,,,,1
Hematology and Oncology,207RH0003X|2080P0207X|261QX0200X,1.0,fuzzy match (query='hematology oncology'): 'internal medicine hematology oncology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00; 'oncology' score=1.00,,,,,,,,,,,,,1
General Surgery,208600000X|208D00000X,1.0,fuzzy match (query='general surgery'): 'general' score=1.00; 'surgery' score=1.00,,,,,,,,,,,,,1
Sleep Medicine,207PE0004X|207QS1201X|207RS0012X|207YS0012X|2080S0012X,1.0,fuzzy match (query='sleep medicine'): 'medicine' score=1.00; 'family medicine sleep medicine' score=1.00; 'internal medicine sleep medicine' score=1.00; 'otolaryngology sleep medicine' score=1.00; 'pediatrics sleep medicine' score=1.00,,,,,,,,,,,,,1
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Sports Medicine,204C00000X|207PE0004X|207PS0010X|207QS0010X|207RS0010X,1.0,fuzzy match (query='sports medicine'): 'medicine' score=1.00; 'medicine sports medicine' score=1.00; 'family medicine sports medicine' score=1.00; 'internal medicine sports medicine' score=1.00; 'neuromusculoskeletal medicine sports medicine' score=1.00,,,,,,,,,,,,,1
Psychology,103TH0100X,0.8182,fuzzy match (query='psychology'): 'psychologist' score=0.82,Psychologist Health Service,1,0,0,0.0,0.0,1,0.4865,0.4865,0.4865,1,0.5656,0
Nurse Midwife,176B00000X|363L00000X,1.0,fuzzy match (query='nurse midwife'): 'nurse' score=1.00; 'midwife' score=1.00,,,,,,,,,,,,,1
Nephrology (Specialist),246ZN0300X,1.0,exact match on 'nephrology',,,,,,,,,,,,,1
Anesthesiology,207L00000X,1.0,exact match on 'anesthesiology' + spacing rescue,,,,,,,,,,,,,1
Pediatrics,208000000X,1.0,exact match on 'pediatrics' + spacing rescue,,,,,,,,,,,,,1
Hematology and Oncology,207RH0003X|2080P0207X|261QX0200X,1.0,fuzzy match (query='hematology oncology'): 'internal medicine hematology oncology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00; 'oncology' score=1.00,,,,,,,,,,,,,1
Nurse Practitioner,163W00000X|163WE0003X|363L00000X|364S00000X|364SE0003X,1.0,exact match on 'nurse',,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Pulmonology,2080P0214X,1.0,fuzzy match (query='pulmonology'): 'pediatrics pediatric pulmonology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Pain Management,163WP0000X|261QP3300X,1.0,fuzzy match (query='pain management'): 'nurse pain management' score=1.00; 'pain' score=1.00,,,,,,,,,,,,,1
Pathology,246Q00000X|246QM0706X|246R00000X,1.0,exact match on 'pathology' + spacing rescue,,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Emergency Medicine,207P00000X|207PE0004X,1.0,exact match on 'medicine',,,,,,,,,,,,,1
Addiction Medicine,207LA0401X|207PE0004X|207QA0401X|207RA0401X|2083A0300X,1.0,fuzzy match (query='addiction medicine'): 'anesthesiology addiction medicine' score=1.00; 'medicine' score=1.00; 'family medicine addiction medicine' score=1.00; 'internal medicine addiction medicine' score=1.00; 'preventive medicine addiction medicine' score=1.00,,,,,,,,,,,,,1
Occupational Therapy,224Z00000X,1.0,exact match on 'occupational therapy',,,,,,,,,,,,,1
Spine Surgery,207XS0117X|208600000X,1.0,fuzzy match (query='spine surgery'): 'orthopaedic surgery orthopaedic surgery the spine' score=1.00; 'surgery' score=1.00,,,,,,,,,,,,,1
Anesthesiology,207L00000X,1.0,exact match on 'anesthesiology' + spacing rescue,,,,,,,,,,,,,1
Allergy and Immunology,207K00000X,1.0,exact match on 'allergy immunology',,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Acute Care - Nurse Practitioner,363L00000X|363LA2100X,1.0,fuzzy match (query='acute nurse'): 'nurse' score=1.00; 'nurse acute' score=1.00,,,,,,,,,,,,,1
Emergency Medicine,207P00000X|207PE0004X,1.0,exact match on 'medicine',,,,,,,,,,,,,1
Pediatrics,208000000X,1.0,exact match on 'pediatrics' + spacing rescue,,,,,,,,,,,,,1
General Practice,208D00000X,1.0,exact match on 'general',,,,,,,,,,,,,1
Medical Oncology,261QX0200X,1.0,exact match on 'oncology',,,,,,,,,,,,,1
Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Pediatric Surgery,207XP3100X|208600000X|2086S0120X,1.0,fuzzy match (query='pediatric surgery'): 'orthopaedic surgery pediatric orthopaedic surgery' score=1.00; 'surgery' score=1.00; 'surgery pediatric surgery' score=1.00,,,,,,,,,,,,,1
Hand Surgery,207XS0106X|2082S0105X|208600000X|2086S0105X,1.0,fuzzy match (query='hand surgery'): 'orthopaedic surgery hand surgery' score=1.00; 'plastic surgery surgery the hand' score=1.00; 'surgery' score=1.00; 'surgery surgery the hand' score=1.00,,,,,,,,,,,,,1
Family - Nurse Practitioner,363L00000X|363LF0000X|364SP0810X,1.0,fuzzy match (query='family nurse'): 'nurse' score=1.00; 'nurse family' score=1.00; 'nurse psychiatric mental child family' score=1.00,,,,,,,,,,,,,1
Hematology,207RH0000X|207RH0003X|2080P0207X|246QH0000X,1.0,fuzzy match (query='hematology'): 'internal medicine hematology' score=1.00; 'internal medicine hematology oncology' score=1.00; 'pathology hematology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Neurology,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='neurology'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Social Worker,104100000X|1041C0700X,1.0,exact match on 'social worker',,,,,,,,,,,,,1
Sports Medicine,204C00000X|207PE0004X|207PS0010X|207QS0010X|207RS0010X,1.0,fuzzy match (query='sports medicine'): 'medicine' score=1.00; 'medicine sports medicine' score=1.00; 'family medicine sports medicine' score=1.00; 'internal medicine sports medicine' score=1.00; 'neuromusculoskeletal medicine sports medicine' score=1.00,,,,,,,,,,,,,1
Interventional Cardiology,207RI0011X|246W00000X,1.0,fuzzy match (query='interventional cardiology'): 'internal medicine interventional cardiology' score=1.00; 'cardiology' score=1.00,,,,,,,,,,,,,1
Neurology,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='neurology'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Gerontology - Nurse Practitioner,363L00000X|363LG0600X,1.0,fuzzy match (query='gerontology nurse'): 'nurse' score=1.00; 'nurse gerontology' score=1.00,,,,,,,,,,,,,1
Dermatology,207N00000X,1.0,exact match on 'dermatology' + spacing rescue,,,,,,,,,,,,,1
Pediatrics,208000000X,1.0,exact match on 'pediatrics' + spacing rescue,,,,,,,,,,,,,1
Internal Medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Physician Assistant,363A00000X|363AM0700X,1.0,exact match on 'physician',,,,,,,,,,,,,1
