raw_specialty,nucc_codes,confidence,explain,confidence_bin
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
InfectiousDisease,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
1P,JUNK,0.09,top fuzzy 0.20 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IR dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
Psych,JUNK,0.31,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
Cardiothora,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
OB/GYN Unit,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
FREESTANDING(RURALHEALTHCLINIC),JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
0B/GYN,JUNK,0.19,top fuzzy 0.43 below cutoff,"(0.0, 0.25]"
0B/GYN,JUNK,0.19,top fuzzy 0.43 below cutoff,"(0.0, 0.25]"
Hemat,JUNK,0.31,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
Gastroen,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
Dept of IP,JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
ip,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
InfectiousDisease,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
Endocr,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
Neurops,JUNK,0.26,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
Infectiou,JUNK,0.22,top fuzzy 0.48 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
OPTI,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
Onco,JUNK,0.31,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
IR dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
OB/GYN Division,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
FREE STANDING (RU,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
IP Division,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
0B/GYN,JUNK,0.19,top fuzzy 0.43 below cutoff,"(0.0, 0.25]"
SportsMedicine,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IP dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
ReproductiveEndocrinology,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
FREESTANDING(RURALHEALTHCLINIC),JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
OB/GYN Division,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
IR dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Endocr,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Cardiothora,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
0B/GYN,JUNK,0.19,top fuzzy 0.43 below cutoff,"(0.0, 0.25]"
FREE STANDING (RU,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
Dr. IP,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IR Division,JUNK,0.23,top fuzzy 0.52 below cutoff,"(0.0, 0.25]"
Cardi,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
1R,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
OB/GYN Division,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
InfectiousDisease,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
Infectiou,JUNK,0.22,top fuzzy 0.48 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IP dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
IP dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Ip,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
OPTI,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
IP Division,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
IR dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
IR dept,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
Neurops,JUNK,0.26,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
Gastroen,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
1P,JUNK,0.09,top fuzzy 0.20 below cutoff,"(0.0, 0.25]"
IP - USA,JUNK,0.2,top fuzzy 0.44 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
PublicHealth,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
Gastroen,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
InfectiousDisease,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Dr. OB/GYN,JUNK,0.21,top fuzzy 0.47 below cutoff,"(0.0, 0.25]"
FREE STANDING (RU,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
Psych,JUNK,0.31,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
Ir,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Audi,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
Neurops,JUNK,0.26,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
PublicHealth,JUNK,0.27,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
Nephr,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
OPTI,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
OPTI,JUNK,0.24,top fuzzy 0.53 below cutoff,"(0.0, 0.25]"
Neurops,JUNK,0.26,top fuzzy 0.59 below cutoff,"(0.25, 0.5]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Dept of IP,JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
Endocr,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
IR,JUNK,0.23,top fuzzy 0.50 below cutoff,"(0.0, 0.25]"
Dept of IR,JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
Gastroen,JUNK,0.21,top fuzzy 0.46 below cutoff,"(0.0, 0.25]"
ReproductiveEndocrinology,JUNK,0.25,top fuzzy 0.55 below cutoff,"(0.0, 0.25]"
OB/G,JUNK,0.13,top fuzzy 0.29 below cutoff,"(0.0, 0.25]"
